"en","fr"
"Number of positive cases per million inhabitants ","Nombre de cas positifs par million d'habitants"
"Daily number of positive cases per million inhabitants, averaged over the last 7 days.","Nombre quotidien de cas positifs pour 1 million d’habitants, en moyenne sur les 7 derniers jours."
"Data source: https://www.data.gouv.fr/en/datasets/donnees-relatives-aux-resultats-des-tests-virologiques-covid-19/","Source des données : https://www.data.gouv.fr/en/datasets/donnees-relatives-aux-resultats-des-tests-virologiques-covid-19/"
"Omicron wave in France","Vague Omicron en France"
"By date","Par date"
"Select date","Choisir date"
"english","french"
"COVID-19 cases evolution","Evolution des cas COVID-19"
"By department","Par département"
"Select department","Choisir département(s)"
"More...","Plus..."
"Data table (long)","Tableau de données (long)"
"Data table (wide)","Tableau de données (large)"
"About","A propos"
"The Omicron wave in metropolitan France","La vague Omicron en France métropolitaine"
"Select language","Choisir langue"
"about_en.md","about_fr.md"
